Date,card_number,full_name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2023-01-01 11:42:23,9D3NHL,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,54867,DATA COMMUNICATION AND NETWORKING,,RIT,RIT
2023-01-01 13:26:48,1C0RDP,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,77395,DATA SCIENCE AND BIG DATA ANALYTICS,EMC,RIT,RIT
2023-01-01 15:15:19,REJZSU,XZZXPF,,ST,Check out,-,SC267,DIGITAL COMPUTER ELECTRONICS: INTRODUCTION TO MICRO COMPUTER,MALVINO A P,RIT,RIT
2023-01-01 17:31:03,XG0YE4,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,68441,ESTIMATING & COSTING IN CIVIL ENGINEERING,DUTTA B N,RIT,RIT
2023-01-01 18:09:06,REJZSU,XZZXPF,,ST,Check in,-,SC267,DIGITAL COMPUTER ELECTRONICS: INTRODUCTION TO MICRO COMPUTER,MALVINO A P,RIT,RIT
2023-01-01 19:17:46,Y7RIHN,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,69653,CLOUD COMPUTING: THEORY AND PRACTICE,"MARINESCU, DAN C",RIT,RIT
2023-01-01 19:29:15,DBFILW,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,87014,PRINCIPLES OF POWER SYSTEM,MEHATA,RIT,RIT
2023-01-01 20:02:47,EZRAMB,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,DB3168,DYNAMICS OF MACHINERY,DAS J B K,RIT,RIT
2023-01-01 20:02:47,EZRAMB,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,49100,DESIGN OF MACHINE ELEMENTS-I ( MECHANICAL ENGINEERING DESIGN-I),ANNAIAH M H,RIT,RIT
2023-01-01 20:02:47,EZRAMB,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,DL301419,AIR POLLUTION,RAO M N,RIT,RIT
2023-01-01 20:36:49,NI2EPR,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,98826,Internet of Things: A Hands-on Approach,"Arshdeep Bahga, Vijay Madisetti,",RIT,RIT
2023-01-02 09:02:53,QAB12L,ICJDNV,BT,ST,Check in,-,86781,MEDICAL BIOTECHNOLOGY,JOGDAND,RIT,RIT
2023-01-02 09:22:05,LB45FN,NX6VZS,,PHD,Check in,-,MB7328,CONSUMER BEHAVIOR,SCHIFFMAN,RIT,RIT
2023-01-02 09:26:03,LB45FN,NX6VZS,,PHD,Check out,,61807,COMSUMER BEHAVIOUR: APPLICATIONS IN MARKETING,"EAST, ROBERT, WRIGHT, MALCOM",RIT,RIT
2023-01-02 10:37:01,5OSZJA,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,92776,PROGRAMMING IN ANSIC,BALAGURUSAMY E,RIT,RIT
