Date,Card_number,Name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2023-07-01 08:58:04,RVXB8C,ML5GDS,CSE_CY,UG,Check out,,99338,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 09:19:09,8S6ID3,DDPQS8,CHEM,UG,Renew,-,71409,BASIC ELECTRONICS,"KOTHARI, D P",RIT,RIT
2023-07-01 09:19:15,8S6ID3,DDPQS8,CHEM,UG,Renew,-,93107,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA K R,RIT,RIT
2023-07-01 09:19:28,8S6ID3,DDPQS8,CHEM,UG,Renew,-,92454,KANNADA KALI,HALEMANE LINGADVARU,RIT,RIT
2023-07-01 09:38:20,90I132,G1SY7J,,TS,Check in,-,69963,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI, REMEZ",RIT,RIT
2023-07-01 10:07:13,SJ4LVX,EX9129,CSE_AIML,UG,Check out,,93312,CALCULUS AND LINEAR ALGEBRA,CHANDRASHEKAR K S,RIT,RIT
2023-07-01 10:19:28,Q5C9GQ,4WGYZF,UNDER GRADUATION(UG),ST,Check in,-,DL302446,ELEMENTS OF ELECTROMAGNETICS,SADIKU MATTHEW N O,RIT,RIT
2023-07-01 10:19:47,IKUWAL,YM74NE,UNDER GRADUATION(UG),UG,Other,-284.0000,,,,,
2023-07-01 10:48:37,0SWZI6,N31UUE,UNDER GRADUATION(UG),UG,Check out,,95660,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-01 10:50:00,GWPRUL,QEP70F,UNDER GRADUATION(UG),UG,Check out,,95777,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-01 10:51:08,K2H7P9,V32A7Y,UNDER GRADUATION(UG),ST,Check in,-,88718,DIGITAL SIGNAL PROCESSING PRINCIPLES ALGORITHMS AND APPLICATIONS,"PROAKIS,JOHN G MANOLAKIS DIMITRIS G",RIT,RIT
2023-07-01 10:51:14,K2H7P9,V32A7Y,UNDER GRADUATION(UG),ST,Check in,-,52191,INTRODUCTION TO ANALOG AND DIGITAL COMMUNICATIONS,"HAYKIN, SIMON",RIT,RIT
2023-07-01 10:51:19,K2H7P9,V32A7Y,UNDER GRADUATION(UG),ST,Check in,-,76631,THE INTEL MICROPROCESSORS ARCHITECTURE PROGRAMMING AND INTERFACING,"BREY, BARRY B",RIT,RIT
2023-07-01 10:53:25,NU6J2C,0M40KQ,UNDER GRADUATION(UG),UG,Check in,-,98236,Thomas' calculus,,RIT,RIT
2023-07-01 10:54:02,638RDC,HOSL89,ME,UG,Check in,-,SC1629,ELEMENTS OF MECHANICAL ENGINEERING,HEGDE R K,RIT,RIT
2023-07-01 10:54:54,K2H7P9,V32A7Y,UNDER GRADUATION(UG),ST,Other,-3.0000,,,,,
2023-07-01 10:55:53,ZFYRLG,29GIQS,UNDER GRADUATION(UG),ST,Renew,-,79863,DIGITAL SIGNAL PROCESSING PRINCIPLES ALGORITHMS AND APPLICATIONS,PROAKIS,RIT,RIT
2023-07-01 10:56:27,JXRTS6,9GPTHS,UNDER GRADUATION(UG),UG,Check out,,95755,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
