Date,Card Number,Name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2024-07-01 08:48:39,JQ7SZ4,ZLQ58D,CHEM,UG,Check out,-,53042,PROCESS HEAT TRANSFER,"KERN, DONALD Q",RIT,RIT
2024-07-01 08:54:12,T5VS6P,9TWFCI,CHEM,UG,Check out,-,54532,PROCESS HEAT TRANSFER,"KERN, DONALD Q",RIT,RIT
2024-07-01 09:21:59,W0N9DI,71G4X3,TS,TS,Check out,-,DB4519,DATA COMMUNICATION AND NETWORKING,"FOROUZAN,BEHROU",RIT,RIT
2024-07-01 09:42:31,YUW19G,BGUH86,LEC,PG,Check in,-,84598,DIGITAL DESIGN: AN EMBEDDED SYSTEMS APPROACH USING VERILOG,"ASHENDEN, PETER J",RIT,RIT
2024-07-01 09:42:37,YUW19G,BGUH86,LEC,PG,Check in,-,82014,DIGITAL COMMUNICATIONS,"PROAKIS, JOHN G",RIT,RIT
2024-07-01 10:06:14,K9T4WX,DQLZSM,ECE,ST,Check out,-,71415,BASIC ELECTRONICS,"KOTHARI, D P",RIT,RIT
2024-07-01 10:35:36,CM55CF,KXBB31,CV,UG,Check in,-,100628,BUILDING CONSTRUCTION,PUNMIA BC KUMAR JAIN ASHOKER,RIT,RIT
2024-07-01 10:58:54,JAP8FG,WJHVQ4,UNDER GRADUATION(UG),ST,Check in,-,72878,FUNDAMENTALS OF COMMUNICATION SYSTEMS,JOHN G. PROAKIS,RIT,RIT
2024-07-01 11:02:20,38QNT8,OPAU6A,EIE,ST,Check in,-,77085,BASIC MECHANICAL ENGINEERING,KUMAR,RIT,RIT
2024-07-01 11:03:47,7SK594,SO6MSQ,UNDER GRADUATION(UG),UG,Check in,-,DB3863,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI, RAMEZ",RIT,RIT
2024-07-01 11:03:59,88HL60,VHV206,MECH,ST,Check out,,DB5750,MANUFACTURING PROCESS-II,PRAVEEN KESTOOR,RIT,RIT
2024-07-01 11:05:06,2K7C72,T5FNTA,UNDER GRADUATION(UG),UG,Check in,-,DB5933,RAMEZ ELMARI,FUNDAMENTALS OF DATABASE SYSTEMS,RIT,RIT
2024-07-01 11:07:46,9FRXKV,IBUZ0R,EIE,ST,Renew,-,66502,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2024-07-01 11:19:56,38QNT8,OPAU6A,EIE,ST,Check out,-,99591,HOW TO THINK LIKE A COMPUTER SCIENTIST LEARNIG WITH PHTHON,"DOWNEY ALLEN, ELKNER JEFFREY, MEYERS, CHRIS",RIT,RIT
2024-07-01 11:21:39,A8YH7F,F3X8PH,UNDER GRADUATION(UG),UG,Check in,-,97011,BATHROOM: ARCHITECTURAL HANDBOOK SERIES (PB),SHAH C.S.,RIT,RIT
2024-07-01 11:34:53,EC4D91,ZLAMLB,AIDS,ST,Renew,-,56829,DATA SRUCTURES AND ALGORITHMS IN JAVA,"DROZDEK, ADAM",RIT,RIT
2024-07-01 11:35:34,A6XJ6E,4JTZ31,,ST,Renew,-,51559,DATA STRUCTURES WITH JAVA,"HUBBARD, JOHN R",RIT,RIT
